item_id,order_id,product_id,quantity,unit_price,discount_percent
273,273,145,1,3461,53
274,81,445,4,3428,12
275,119,370,3,2036,26
276,110,378,1,4130,8
277,369,392,2,3113,70
278,65,345,2,2623,10
279,371,243,2,2558,27
280,2,165,4,3361,17
281,88,350,2,2873,3
282,466,245,-2,2539,37
283,182,459,2,4288,19
284,128,123,4,2855,6
285,360,473,2,4126,54
286,47,225,2,3452,35
287,197,455,2,3051,82
288,394,313,2,3237,12
289,63,110,2,4841,32
290,471,36,5,4152,88
291,27,69,2,2238,87
292,13,413,5,2660,5
293,352,59,3,4621,6
294,467,377,5,3521,72
295,124,46,1,3427,13
296,356,39,3,4173,36
297,426,244,3,4433,61
298,145,247,5,4973,63
299,397,77,4,4227,45
300,142,217,4,4660,38
301,367,272,5,3340,18
302,83,157,2,4245,13
303,405,87,3,4667,52
304,185,386,3,2667,40
305,400,406,4,3397,37
306,24,79,3,4310,39
307,172,87,1,2821,28
308,197,274,4,4842,64
309,66,462,5,3467,74
310,491,119,2,4404,52
311,402,298,5,4591,89
312,188,389,1,2306,0
313,242,488,5,3578,7
314,68,369,5,2648,55
315,97,185,2,2841,30
316,451,445,3,4695,9
317,198,45,5,2315,66
318,397,104,1,3545,44
319,492,442,1,2302,0
320,291,35,4,3523,19
321,32,347,5,3181,83
322,479,126,3,2180,53
323,178,295,1,3310,48
324,372,92,5,2437,36
325,70,323,2,3829,14
326,223,132,4,2038,51
327,446,194,3,2916,46
328,4,5,3,2717,82
329,63,166,3,4059,34
330,181,367,3,4163,79
331,390,48,3,3316,65
332,36,436,1,4606,65
333,161,143,4,3561,88
334,141,39,4,4364,72
335,220,40,3,2939,8
336,68,255,3,2806,71
337,73,483,3,3095,71
338,461,282,3,4175,62
339,23,41,3,2366,46
340,91,408,5,3025,6
341,11,332,1,3924,58
342,500,97,3,2189,11
343,217,147,1,2911,19
344,232,423,4,4311,19
345,153,2,3,2680,29
346,196,332,1,4283,90
347,144,163,1,2584,96
348,288,325,3,3061,17
349,422,267,4,4114,73
350,167,358,1,4022,59
351,261,278,2,3539,16
352,174,89,5,4099,49
353,401,240,4,3067,81
354,211,23,4,4271,56
355,478,214,2,2850,28
356,104,61,3,4994,42
357,366,181,3,3762,2
358,295,405,1,2953,34
359,247,136,5,4514,55
360,33,222,5,4978,2
361,287,52,3,3957,36
362,95,447,4,2899,21
363,125,223,5,4743,49
364,221,351,4,4204,44
365,408,155,2,3012,84
366,66,16,3,4573,35
367,157,495,5,4473,45
368,247,406,3,4598,63
369,295,212,3,4798,95
370,229,19,1,3924,4
371,313,385,2,3373,3
372,91,404,2,4291,35
373,458,261,4,3308,12
374,122,302,4,4677,64
375,185,354,3,4042,75
376,99,495,5,4113,82
377,470,351,3,3534,99
378,232,93,4,4608,35
379,1,365,4,3319,34
380,191,407,2,4020,87
381,49,173,1,2176,26
382,254,12,5,3250,59
383,66,211,4,4869,35
384,212,227,5,2243,19
385,326,274,4,3158,37
386,298,125,3,3635,54
387,383,133,1,2867,48
388,412,129,5,2337,42
389,142,65,2,3223,85
390,136,391,1,3108,81
391,182,214,5,4324,86
392,226,401,1,2397,30
393,460,230,2,2246,92
394,486,225,1,3044,44
395,110,193,4,2569,31
396,124,413,4,3710,81
397,42,212,1,2111,1
398,85,56,5,4730,39
399,131,3,1,3054,5
400,279,464,1,2985,100
401,411,239,1,4716,53
402,122,285,5,3956,40
403,13,406,2,3104,45
404,383,435,2,3666,87
405,311,254,2,3771,9
406,351,342,1,3967,4
407,46,492,5,4037,96
408,135,366,5,4663,56
409,29,239,5,3145,13
410,346,307,5,3603,79
411,477,334,4,4794,65
412,115,225,3,4553,5
413,124,279,5,3795,59
414,141,223,3,4086,30
415,162,283,4,2820,47
416,214,173,1,3052,9
417,280,62,5,4696,41
418,289,354,2,4683,66
419,338,139,3,4436,92
420,10,28,4,4477,22
421,269,256,2,4995,14
422,31,67,1,3858,39
423,234,220,4,2419,47
424,55,60,3,4130,25
425,35,82,3,3324,33
426,341,14,1,4915,4
427,213,176,4,2383,60
428,112,369,1,4710,4
429,453,345,3,2876,90
430,31,325,1,2318,67
431,199,463,4,2376,71
432,241,434,4,2255,85
433,336,483,5,4199,70
434,415,286,2,2414,16
435,197,85,2,4875,89
436,33,158,5,4947,60
437,201,188,-5,4668,62
438,172,297,5,3236,30
439,105,361,5,2143,33
440,356,257,4,2436,6
441,232,489,1,2157,84
442,368,500,1,4210,11
443,300,45,3,4908,34
444,99,214,4,4967,61
445,262,392,4,2922,12
446,312,108,2,2581,13
447,257,469,3,2520,24
448,19,161,5,2969,65
449,405,445,2,4999,41
450,48,458,-2,4629,55
451,404,427,2,4341,53
452,460,482,1,2457,88
453,250,146,2,3339,54
454,85,376,2,3117,63
455,116,400,4,3946,48
456,64,169,2,3596,67
457,389,446,5,3084,59
458,257,376,3,2239,71
459,312,181,3,3823,20
460,480,313,4,3499,94
461,268,9,5,2849,59
462,406,339,3,4843,44
463,458,146,3,2501,92
464,339,52,4,4107,82
465,492,429,3,4874,71
466,62,13,4,2737,0
467,337,354,2,3457,79
468,216,175,1,3388,43
469,63,98,1,4535,53
470,368,316,1,2542,45
471,498,397,4,2162,36
472,153,235,5,4662,7
473,260,90,5,3178,78
474,83,405,3,2213,60
475,435,128,3,4844,31
476,59,71,3,3877,47
477,213,216,3,3928,87
478,22,267,5,2216,1
479,187,317,3,3060,22
480,327,104,1,3181,15
481,7,176,5,4450,89
482,123,227,4,4965,25
483,280,422,3,2879,94
484,328,255,3,4443,66
485,301,109,-3,4154,25
486,2,367,2,4086,31
487,317,251,2,4934,61
488,383,228,5,2074,41
489,377,112,4,2056,25
490,342,256,2,2897,76
491,228,333,2,4295,14
492,136,322,2,2547,82
493,351,136,2,4187,88
494,334,108,3,3794,81
495,493,406,3,2088,18
496,446,219,4,3071,9
497,122,287,4,4070,59
498,36,81,3,3117,31
499,189,446,2,2534,38
500,326,344,5,4010,93
