,item_id,order_id,product_id,quantity,unit_price,discount_percent
67,68,436,432,-2,4972,88
68,69,400,246,3,4779,15
69,70,319,241,2,2781,22
70,71,261,469,1,4694,75
71,72,390,315,2,2420,92
72,73,388,499,2,3390,58
73,74,386,53,4,3128,2
74,75,419,114,2,3505,91
75,76,8,290,5,3543,66
76,77,415,229,3,2183,76
77,78,423,16,1,4950,69
78,79,119,341,1,2010,89
79,80,28,465,5,2056,97
80,81,267,14,3,4426,44
81,82,460,490,3,2525,10
82,83,209,383,5,2454,50
83,84,387,328,5,2681,0
84,85,220,300,1,2659,6
85,86,342,375,5,4104,13
86,87,239,295,2,2326,63
87,88,422,119,5,4398,6
88,89,431,380,4,2938,34
89,90,391,39,2,3411,92
90,91,342,350,1,4838,87
91,92,58,318,3,2476,29
92,93,107,203,4,3451,43
93,94,333,16,3,4212,19
94,95,28,428,5,2391,52
95,96,5,410,3,2412,37
96,97,348,239,3,4621,99
97,98,353,418,3,4758,66
98,99,210,400,3,3664,20
99,100,96,18,1,4317,97
100,101,297,181,4,2246,55
101,102,33,393,4,3199,25
102,103,107,228,3,3014,14
103,104,6,223,1,2212,6
104,105,342,349,1,3437,16
105,106,171,45,5,4549,18
106,107,97,249,1,3314,72
107,108,280,137,1,4621,98
108,109,108,232,4,4978,76
109,110,84,55,4,2197,15
110,111,146,257,4,4070,88
111,112,315,430,3,4557,100
112,113,448,159,3,4298,33
113,114,481,390,4,4559,93
114,115,268,423,3,3761,60
115,116,358,432,2,2603,73
116,117,190,442,4,3691,3
117,118,280,321,4,4039,68
118,119,308,221,3,2342,56
119,120,245,110,2,4921,71
120,121,334,204,3,3546,33
121,122,242,103,1,4392,90
122,123,414,496,2,4506,17
123,124,2,111,2,2251,69
124,125,225,80,5,4962,55
125,126,337,337,5,2121,23
126,127,235,309,3,2310,26
127,128,482,383,2,2823,98
128,129,127,255,3,2812,5
129,130,239,290,5,4291,98
130,131,463,480,5,2356,81
131,132,171,392,1,3602,20
132,133,135,24,5,4066,17
133,134,364,471,4,3766,88
134,135,398,493,5,3753,10
135,136,11,376,2,2329,43
136,137,442,112,4,4949,35
137,138,306,441,5,3949,57
138,139,418,227,5,3737,95
139,140,213,346,5,3973,67
140,141,22,347,5,4315,44
141,142,333,289,5,2054,72
142,143,12,273,5,3934,96
143,144,182,442,1,4201,93
144,145,37,96,2,3209,54
145,146,285,269,1,3466,99
146,147,314,491,3,3172,85
147,148,26,475,2,4367,12
148,149,180,79,2,2700,61
149,150,203,28,3,3564,64
150,151,121,496,5,4138,14
151,152,27,149,2,3093,49
152,153,258,75,4,4714,62
153,154,371,394,-4,2308,81
154,155,463,202,4,2983,80
155,156,247,287,2,3193,37
156,157,214,483,5,3206,1
157,158,271,144,5,4165,73
158,159,275,356,3,4578,25
159,160,446,124,4,2238,99
160,161,168,473,2,2845,37
161,162,97,402,1,2494,74
162,163,4,365,1,3052,2
163,164,263,24,2,4559,82
164,165,180,467,5,2755,76
165,166,186,204,4,2815,55
166,167,132,336,2,3594,20
167,168,477,43,3,4224,73
168,169,43,370,1,3800,10
169,170,261,500,2,2470,33
170,171,392,187,4,2774,94
171,172,227,400,5,4157,80
172,173,340,196,2,4842,86
173,174,418,308,3,4501,14
174,175,485,325,5,3822,40
175,176,47,149,4,4003,73
176,177,36,48,1,3689,69
177,178,284,222,2,4580,90
178,179,355,88,1,4579,76
179,180,188,460,1,4253,45
180,181,25,421,4,4414,63
181,182,356,409,3,2185,19
182,183,3,169,4,4469,18
183,184,435,220,5,2024,20
184,185,64,70,5,3527,57
185,186,446,389,2,3884,90
186,187,18,475,4,2609,33
187,188,379,192,3,3685,6
188,189,319,166,3,3689,99
189,190,418,397,1,3315,69
190,191,402,456,1,4956,40
191,192,306,387,5,4335,57
192,193,193,444,5,4579,55
193,194,81,412,5,2221,70
194,195,14,192,4,3432,47
195,196,84,134,1,2951,0
196,197,481,103,5,2998,69
197,198,16,399,1,2844,42
198,199,161,445,2,2763,89
199,200,442,391,4,3447,95
200,201,158,260,4,2830,57
201,202,307,18,4,3301,73
202,203,234,418,4,3306,21
203,204,126,98,2,3185,8
204,205,465,306,3,3040,60
205,206,102,21,4,2107,43
206,207,407,451,2,2919,56
207,208,292,11,4,3972,71
208,209,356,396,2,2784,40
209,210,313,78,3,3860,37
210,211,61,434,4,4024,36
211,212,36,399,3,4122,98
212,213,384,111,1,4282,21
213,214,324,223,5,4499,54
214,215,351,121,2,4134,40
215,216,281,165,4,2990,74
216,217,58,71,4,3101,33
217,218,135,17,4,3737,49
218,219,401,328,3,2964,80
219,220,297,500,2,2872,96
220,221,345,391,4,3084,41
221,222,2,190,2,4168,45
222,223,26,181,-2,4696,82
223,224,281,338,3,2134,86
224,225,405,82,3,2824,80
225,226,182,135,1,4744,23
226,227,30,176,4,2076,14
227,228,213,392,1,2145,18
228,229,273,359,1,2742,83
229,230,116,127,3,3519,74
230,231,240,456,5,2736,46
231,232,316,277,1,3391,65
232,233,463,343,4,4297,12
233,234,335,246,4,3749,94
234,235,141,355,3,2749,30
235,236,431,102,4,2011,3
236,237,449,174,4,4953,40
237,238,222,457,3,3551,72
238,239,65,311,1,2473,98
239,240,206,8,4,2360,28
240,241,336,454,5,4357,49
241,242,330,418,5,2656,86
242,243,141,240,1,4599,35
243,244,65,122,5,4886,98
244,245,189,156,4,4000,2
245,246,353,123,5,2807,65
246,247,138,187,-5,2359,97
247,248,442,304,5,3526,88
248,249,265,474,4,4334,30
249,250,136,257,5,4483,2
250,251,456,434,4,4202,1
251,252,392,157,4,3387,45
252,253,97,350,2,3138,8
253,254,442,180,1,4034,19
254,255,203,35,2,4958,77
255,256,471,86,1,4619,92
256,257,495,281,4,2243,57
257,258,241,186,5,2694,39
258,259,125,423,4,4359,20
259,260,431,300,2,3679,35
260,261,341,100,2,4295,62
261,262,236,166,5,3739,60
262,263,494,427,3,2196,78
263,264,89,387,5,2307,20
264,265,146,258,1,4733,52
265,266,404,480,1,4078,11
266,267,387,118,2,4115,91
267,268,313,401,1,2207,29
268,269,20,34,2,3290,3
269,270,253,148,4,3634,63
270,271,366,17,5,2953,25
271,272,30,348,5,2130,39
272,273,273,145,1,3461,53
273,274,81,445,4,3428,12
274,275,119,370,3,2036,26
275,276,110,378,1,4130,8
276,277,369,392,2,3113,70
277,278,65,345,2,2623,10
278,279,371,243,2,2558,27
279,280,2,165,4,3361,17
280,281,88,350,2,2873,3
281,282,466,245,-2,2539,37
282,283,182,459,2,4288,19
283,284,128,123,4,2855,6
284,285,360,473,2,4126,54
285,286,47,225,2,3452,35
286,287,197,455,2,3051,82
287,288,394,313,2,3237,12
288,289,63,110,2,4841,32
289,290,471,36,5,4152,88
290,291,27,69,2,2238,87
291,292,13,413,5,2660,5
292,293,352,59,3,4621,6
293,294,467,377,5,3521,72
294,295,124,46,1,3427,13
295,296,356,39,3,4173,36
296,297,426,244,3,4433,61
297,298,145,247,5,4973,63
298,299,397,77,4,4227,45
299,300,142,217,4,4660,38
300,301,367,272,5,3340,18
301,302,83,157,2,4245,13
302,303,405,87,3,4667,52
303,304,185,386,3,2667,40
304,305,400,406,4,3397,37
305,306,24,79,3,4310,39
306,307,172,87,1,2821,28
307,308,197,274,4,4842,64
308,309,66,462,5,3467,74
309,310,491,119,2,4404,52
310,311,402,298,5,4591,89
311,312,188,389,1,2306,0
312,313,242,488,5,3578,7
313,314,68,369,5,2648,55
314,315,97,185,2,2841,30
315,316,451,445,3,4695,9
316,317,198,45,5,2315,66
317,318,397,104,1,3545,44
318,319,492,442,1,2302,0
319,320,291,35,4,3523,19
320,321,32,347,5,3181,83
321,322,479,126,3,2180,53
322,323,178,295,1,3310,48
323,324,372,92,5,2437,36
324,325,70,323,2,3829,14
325,326,223,132,4,2038,51
326,327,446,194,3,2916,46
327,328,4,5,3,2717,82
328,329,63,166,3,4059,34
329,330,181,367,3,4163,79
330,331,390,48,3,3316,65
331,332,36,436,1,4606,65
332,333,161,143,4,3561,88
333,334,141,39,4,4364,72
334,335,220,40,3,2939,8
335,336,68,255,3,2806,71
336,337,73,483,3,3095,71
337,338,461,282,3,4175,62
338,339,23,41,3,2366,46
339,340,91,408,5,3025,6
340,341,11,332,1,3924,58
341,342,500,97,3,2189,11
342,343,217,147,1,2911,19
343,344,232,423,4,4311,19
344,345,153,2,3,2680,29
345,346,196,332,1,4283,90
346,347,144,163,1,2584,96
347,348,288,325,3,3061,17
348,349,422,267,4,4114,73
349,350,167,358,1,4022,59
350,351,261,278,2,3539,16
351,352,174,89,5,4099,49
352,353,401,240,4,3067,81
353,354,211,23,4,4271,56
354,355,478,214,2,2850,28
355,356,104,61,3,4994,42
356,357,366,181,3,3762,2
357,358,295,405,1,2953,34
358,359,247,136,5,4514,55
359,360,33,222,5,4978,2
360,361,287,52,3,3957,36
361,362,95,447,4,2899,21
362,363,125,223,5,4743,49
363,364,221,351,4,4204,44
364,365,408,155,2,3012,84
365,366,66,16,3,4573,35
366,367,157,495,5,4473,45
367,368,247,406,3,4598,63
368,369,295,212,3,4798,95
369,370,229,19,1,3924,4
370,371,313,385,2,3373,3
371,372,91,404,2,4291,35
372,373,458,261,4,3308,12
373,374,122,302,4,4677,64
374,375,185,354,3,4042,75
375,376,99,495,5,4113,82
376,377,470,351,3,3534,99
377,378,232,93,4,4608,35
378,379,1,365,4,3319,34
379,380,191,407,2,4020,87
380,381,49,173,1,2176,26
381,382,254,12,5,3250,59
382,383,66,211,4,4869,35
383,384,212,227,5,2243,19
384,385,326,274,4,3158,37
385,386,298,125,3,3635,54
386,387,383,133,1,2867,48
387,388,412,129,5,2337,42
388,389,142,65,2,3223,85
389,390,136,391,1,3108,81
390,391,182,214,5,4324,86
391,392,226,401,1,2397,30
392,393,460,230,2,2246,92
393,394,486,225,1,3044,44
394,395,110,193,4,2569,31
395,396,124,413,4,3710,81
396,397,42,212,1,2111,1
397,398,85,56,5,4730,39
398,399,131,3,1,3054,5
399,400,279,464,1,2985,100
400,401,411,239,1,4716,53
401,402,122,285,5,3956,40
402,403,13,406,2,3104,45
403,404,383,435,2,3666,87
404,405,311,254,2,3771,9
405,406,351,342,1,3967,4
406,407,46,492,5,4037,96
407,408,135,366,5,4663,56
408,409,29,239,5,3145,13
409,410,346,307,5,3603,79
410,411,477,334,4,4794,65
411,412,115,225,3,4553,5
412,413,124,279,5,3795,59
413,414,141,223,3,4086,30
414,415,162,283,4,2820,47
415,416,214,173,1,3052,9
416,417,280,62,5,4696,41
417,418,289,354,2,4683,66
418,419,338,139,3,4436,92
419,420,10,28,4,4477,22
420,421,269,256,2,4995,14
421,422,31,67,1,3858,39
422,423,234,220,4,2419,47
423,424,55,60,3,4130,25
424,425,35,82,3,3324,33
425,426,341,14,1,4915,4
426,427,213,176,4,2383,60
427,428,112,369,1,4710,4
428,429,453,345,3,2876,90
429,430,31,325,1,2318,67
430,431,199,463,4,2376,71
431,432,241,434,4,2255,85
432,433,336,483,5,4199,70
433,434,415,286,2,2414,16
434,435,197,85,2,4875,89
435,436,33,158,5,4947,60
436,437,201,188,-5,4668,62
437,438,172,297,5,3236,30
438,439,105,361,5,2143,33
439,440,356,257,4,2436,6
440,441,232,489,1,2157,84
441,442,368,500,1,4210,11
442,443,300,45,3,4908,34
443,444,99,214,4,4967,61
444,445,262,392,4,2922,12
445,446,312,108,2,2581,13
446,447,257,469,3,2520,24
447,448,19,161,5,2969,65
448,449,405,445,2,4999,41
449,450,48,458,-2,4629,55
450,451,404,427,2,4341,53
451,452,460,482,1,2457,88
452,453,250,146,2,3339,54
453,454,85,376,2,3117,63
454,455,116,400,4,3946,48
455,456,64,169,2,3596,67
456,457,389,446,5,3084,59
457,458,257,376,3,2239,71
458,459,312,181,3,3823,20
459,460,480,313,4,3499,94
460,461,268,9,5,2849,59
461,462,406,339,3,4843,44
462,463,458,146,3,2501,92
463,464,339,52,4,4107,82
464,465,492,429,3,4874,71
465,466,62,13,4,2737,0
466,467,337,354,2,3457,79
467,468,216,175,1,3388,43
468,469,63,98,1,4535,53
469,470,368,316,1,2542,45
470,471,498,397,4,2162,36
471,472,153,235,5,4662,7
472,473,260,90,5,3178,78
473,474,83,405,3,2213,60
474,475,435,128,3,4844,31
475,476,59,71,3,3877,47
476,477,213,216,3,3928,87
477,478,22,267,5,2216,1
478,479,187,317,3,3060,22
479,480,327,104,1,3181,15
480,481,7,176,5,4450,89
481,482,123,227,4,4965,25
482,483,280,422,3,2879,94
483,484,328,255,3,4443,66
484,485,301,109,-3,4154,25
485,486,2,367,2,4086,31
486,487,317,251,2,4934,61
487,488,383,228,5,2074,41
488,489,377,112,4,2056,25
489,490,342,256,2,2897,76
490,491,228,333,2,4295,14
491,492,136,322,2,2547,82
492,493,351,136,2,4187,88
493,494,334,108,3,3794,81
494,495,493,406,3,2088,18
495,496,446,219,4,3071,9
496,497,122,287,4,4070,59
497,498,36,81,3,3117,31
498,499,189,446,2,2534,38
499,500,326,344,5,4010,93
